auditId,sourceLine,company,country,investmentFirm,sector,status,ownerCount,milestoneCount,sourceCount,proposedTargetCount,priority,score,flags,malformedDates,exactDuplicates,nearDuplicates,lowValueMilestones,recategoryCandidates,missingEntryOwners,missingExitOwners,sourceCoverage,sourceUrls,reviewerDecision,reviewerNotes
repsol-renovables-s-a__united-states,16010,"Repsol Renovables, S.A.",United States,EIP,Power & ET,Active,1,5,5,current 2-5 target,none,0,,,,,,,,,,https://www.repsol.com/en/press-room/press-releases/2022/repsol-adds-eip-and-credit-agricole-assurances-as-partners-to-grow-its-renewables-business/index.cshtml | https://www.repsol.com/content/dam/repsol-corporate/es/accionistas-e-inversores/pdf/base-prospectus-registrado-11-abril-2025.pdf | https://energy-infrastructure-partners.com/portfolio/repsol-renewables/ | https://www.repsol.com/en/about-us/where-we-work/repsol-worldwide/the-americas/united-states/index.cshtml | https://www.repsol.com/content/dam/repsol-corporate/en_gb/accionistas-e-inversores/pdfs/base-prospectus-registered-march-26-2026.pdf,,
advanced-recycling-technologies__united-states,16041,Advanced Recycling Technologies,United States,Ember Infrastructure,Power & ET,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.advancedrecyclingtechnologies.com/ | https://www.advancedrecyclingtechnologies.com/waste-to-energy | https://www.prnewswire.com/news-releases/advanced-recycling-technologies-announces-growth-investment-from-ember-infrastructure-302315469.html,,
caban-systems-inc__united-states,16066,"Caban Systems, Inc.",United States,Ember Infrastructure,Digital,Active,1,3,3,current 2-5 target,none,0,,,,,,,,,,https://www.cabanenergy.com/en | https://www.prnewswire.com/news-releases/caban-systems-announces-investment-from-ember-infrastructure-to-scale-clean-distributed-energy-solutions-for-the-telecom-industry-301314678.html | https://www.cabanenergy.com/en/resources/caban-systems-celebrates-five-years-of-success,,
earthwise-environmental-solutions__united-states,16094,Earthwise Environmental Solutions,United States,Ember Infrastructure,Social Infra,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.earthwisees.com/ | https://ember-infra.com/portfolio | https://www.earthwisees.com/leadership,,
ground-water-treatment-technology-llc__united-states,16119,"Ground/Water Treatment & Technology, LLC",United States,Ember Infrastructure,Utilities,Active,1,1,4,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.gwttllc.com/ | https://www.gwttllc.com/about-gwtt/ | https://www.prnewswire.com/news-releases/groundwater-treatment--technology-llc-announces-majority-growth-investment-from-ember-infrastructure-301856032.html | https://www.gwttllc.com/services/,,
h2o-innovation-inc__united-states-canada,16145,H2O Innovation Inc.,United States / Canada,Ember Infrastructure,Utilities,Active,1,1,3,2-5 after research,medium,30,thin_scorecard,,,,,,,,,https://www.h2oinnovation.com/ | https://www.h2oinnovation.com/about-us/company/ | https://www.businesswire.com/news/home/20231208427843/en/Ember-Completes-Acquisition-of-H2O-Innovation,,
low-impact-development-technologies-llc__united-states,16170,"Low Impact Development Technologies, LLC",United States,Ember Infrastructure,Utilities,Active,1,2,3,current 2-5 target,none,0,,,,,,,,,,https://lidtech.com/ | https://lidtech.com/low-impact-development-technologies-llc-receives-investment-from-ember-infrastructure/ | https://ember-infra.com/e/ember-invests-in-stormwater-solutions-provider-low-impact-development-technologies,,
onsyte-performance__united-states,16196,OnSyte Performance,United States,Ember Infrastructure,Utilities,Active,1,2,4,current 2-5 target,none,0,,,,,,,,,,https://onsyte.com/ | https://ember-infra.com/portfolio | https://www.prnewswire.com/news-releases/onsyte-performance-raises-growth-investment-from-ember-infrastructure-301865176.html | https://onsyte.com/technology,,
regenerate-energy-holdings-llc__united-states,16223,"ReGenerate Energy Holdings, LLC",United States,Ember Infrastructure,Power & ET,Active,1,3,3,current 2-5 target,none,0,,,,,,,,,,https://ember-infra.com/e/regenerate-energy-launch | https://ember-infra.com/e/regenerate-acquires-50mw-biomass-facility | https://ember-infra.com/e/regenerate-maine-biochar-grant,,
sunshare-llc__united-states,16251,"SunShare, LLC",United States,Ember Infrastructure,Power & ET,Active,1,2,3,current 2-5 target,none,0,,,,,,,,,,https://mysunshare.com/ | https://mysunshare.com/about-us/ | https://ember-infra.com/e/ember-invests-in-sunshare,,
aither-systems__united-states,16278,Aither Systems,United States,EnCap Investments,Digital,Active,1,2,3,current 2-5 target,none,0,,,,,,,,,,https://www.aithersystems.com/ | https://www.encapinvestments.com/about/energy-transition/portfolio/current/aither-systems | https://www.aithersystems.com/services/,,
